,PC1,PC2,PC3,PC4,PC5
SPA_r4,0.1206718848161693,0.07152610267948846,0.0028207874556202966,-0.054081107292459116,-0.043961143460603015
SET_r1,0.13150880279486477,0.04709379940254694,0.020718601967607227,-0.004195004839938959,-0.03547115705325714
SET_r2,0.10570742725119821,0.05162464384335101,0.026091461524992917,0.01273921438603425,-0.04552856441168322
SET_r3,0.11429269554923248,0.05693271264126664,-0.01163929815020131,-0.014278214019766505,-0.07927035790990507
SET_r4,0.12376195300941299,0.06247071162865554,0.005630151035069596,-0.007035391075661053,-0.05222488744675124
TIM_r1,0.11723545124297598,0.05047091147500726,0.029541217906204148,0.012942500132142971,-0.022244299301619183
TIM_r2,0.12466367308471508,0.026092241304567297,0.038992946983003395,0.020036183022646845,-0.008087163774137564
TIM_r3,0.09717573524219723,0.010847477141409087,0.022422681963964394,0.031299762950276026,-0.037091864052386896
TIM_r4,0.13034207355698396,0.005227651792229271,0.045252001689090535,0.025332008399961053,-0.015293637459110023
BOD_r1,0.036302902729157704,-0.01824687171803614,0.0066005365764583495,0.0872191273553467,0.2060409919585016
BOD_r2,0.06494033656088935,-0.0512399613748613,-0.004198329555986948,0.10847669739394798,0.22501013635762088
BOD_r3,0.03752917889588629,-0.04882730314907414,-0.03213590887424133,0.08073261024470979,0.21131955279545953
BOD_r4,0.021417482684680064,-0.013716101148379902,0.005308488444991549,0.09963162644295231,0.16881332028245774
LIM_r1,0.06621145616397434,-0.044264121285367525,-0.042756467869098876,-0.021922451489764745,-0.017999330597418692
LIM_r2,0.09000048517944996,-0.0598477766065706,-0.06271492032899559,-0.049212488398599874,-0.024927134928621263
LIM_r3,0.06124327775507153,-0.05739068721230255,-0.03942470350869294,-0.032968978582005266,-0.02250930321414391
LIM_r4,0.085471008243338,-0.10407479666103335,-0.07002364195241773,-0.05399776266569944,-0.0032892031684148134
ACT_r1,0.08694465506683025,-0.01638248159354257,0.014921598596340185,0.1127026542814238,0.010997474065417304
ACT_r2,0.04532463983527067,0.07359400151814155,-0.07274372983321366,0.07907992512284436,-0.041530914907637176
ACT_r3,0.05067331781387245,0.07811712962345516,-0.0666655973303102,0.06941213312740334,-0.0250834903621735
ACT_r4,0.08044388845072305,0.024216404144564583,-0.057035190642860285,0.07115483144676175,0.01810169575657797
ACT_GPT-4t,0.0335952156333719,0.059052535399528504,-0.07732649605054032,0.09411086801891025,-0.009029327192556322
ARO_GPT-4t,0.12246718057508517,-0.11055849850026395,-0.025298315581836085,-0.02971981141639902,0.024057086296007946
AUD_GPT-4t,0.05588279604956353,-0.03612232546747366,0.21040581037543746,0.04079587544886676,-0.04144898770909447
BIZ_GPT-4t,0.12798368245124478,-0.0361701091073686,-0.0379531147481715,-0.008127236151010481,-0.019796281448473473
BOD_GPT-4t,0.052160944627892836,-0.029521168774508198,-0.022985047586903874,0.13691568000758236,0.25676647446052864
INC_GPT-4t,-0.007755090817727361,-0.046001094983747375,-0.035103405328671004,0.2679047973613614,-0.1700816361922543
LIM_GPT-4t,0.12420317334559212,-0.10415985537906544,-0.04197689112562309,-0.07444315473906234,-0.03300310745081194
MEC_GPT-4t,0.10376572269573128,-0.07601058196664053,0.027858196110343125,0.041913236854103274,-0.05948322906763302
MOV_GPT-4t,0.09037867686049128,0.07005160699333429,-0.10356165923975379,-0.0028169376074834614,0.00019270741169963055
SET_GPT-4t,0.12773727659870757,0.05932443910444759,-0.0007516146848514713,-0.024605879528634085,-0.07359974861365304
SOC_GPT-4t,0.07569527373353846,0.0038741573110899585,0.20517067918373855,-0.011964769795109808,0.06639475801542286
SPA_GPT-4t,0.12080331342348148,0.09497888929961028,-0.014218062064317022,-0.03323085105803247,-0.07210750830343611
TAC_GPT-4t,0.07147842466178861,0.07470327071623399,-0.0594800169362124,0.08607175469746553,0.16143686362865092
TIM_GPT-4t,0.1278839699623921,0.02200689528359054,0.05927436032822209,0.019393130741399717,-0.00990784903481013
VAL_GPT-4t,-0.03900955071721017,0.21625752498339693,0.08338735553528813,0.07947935830369668,-0.003479562698085535
VIS_GPT-4t,0.08825030983149912,0.140129330532884,-0.03738399932262551,-0.037153711689927704,-0.03503229431250811
ACT_GPT-4,0.044889607496415296,0.06313833310447685,-0.0493104973808385,0.12043016501321445,-0.006694190867253392
ARO_GPT-4,0.11945741090291423,-0.14254005578044696,-0.035697467277580844,-0.04200228572469317,0.026256590921617057
AUD_GPT-4,0.03914782945365899,-0.05793777481613658,0.19792520902735283,0.04999760675347388,-0.0492320611338826
BIZ_GPT-4,0.12697829387696627,-0.03703668696265098,-0.05910850080577161,-0.012677403100592819,-0.024240240385685504
BOD_GPT-4,0.05055066015814028,-0.04077315311394746,-0.038981586985395465,0.15049053525326886,0.265058111198161
INC_GPT-4,-0.0042925270356355925,-0.050728126402573064,-0.037162934130581846,0.27500039855492475,-0.17646592585516008
LIM_GPT-4,0.11859162298524933,-0.129401777206838,-0.06153535865471276,-0.06978224517625625,-0.01906895071939033
MEC_GPT-4,0.08106174622524823,-0.11658013143693591,1.0700589665316977e-05,0.045232354871280814,-0.05534139513490767
MOV_GPT-4,0.09885380766418451,0.06804245363702534,-0.11988341158776329,0.009640796379603061,0.023877716531353295
SET_GPT-4,0.12331670142835834,0.06091763912995951,-0.01518941815643175,-0.03273024865662028,-0.06952631286203184
SOC_GPT-4,0.09893634313756389,-0.014769446549822261,0.20423786497407856,-0.019207845440068927,0.049767290215693344
SPA_GPT-4,0.11179449844692359,0.10796037194536155,-0.045459932602409256,-0.0511682721538078,-0.09074932771112745
