,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
SPA_Llama3,0.11936647558344107,0.10272328106539656,-0.012398081901230106,-0.056510989583639426,-0.05059760396291222,-0.07707967466388235,-0.0013770158934451589,0.017886295995660804,0.0737902067164576,-0.14503239380663055
TAC_Llama3,0.06983735955271582,0.07215972550850186,-0.08781048718107407,0.0882654810373565,0.15285445677236872,-0.024361752326884967,0.004579033761686427,0.18863206762449944,-0.05011173168522171,-0.08838861285407247
TIM_Llama3,0.12997108069868685,-0.03554764771115189,0.060038641796756255,0.05096331631806947,-0.016484836386689374,0.044819841167823164,0.059025548481327864,-0.013526045638532205,0.03920653186456526,-0.014796836572810728
VAL_Llama3,0.011459955302670181,0.21158981057699394,0.10627828558817339,0.08367014428072272,0.0054013725236558025,-0.02695669484217029,0.10237273926306725,-0.021329440301397176,-0.0037189955287737562,0.07135048834674816
VIS_Llama3,0.0946698701818642,0.12673188577550162,-0.0597772487958369,-0.03439825790739807,-0.021858156725274955,-0.14544063238756372,-0.05911515345269963,0.11953222386153552,0.16107489725366933,-0.0384476428933087
ACT_AIs-avg,0.04130185278722376,0.06766161413433537,-0.06992319475763319,0.12827037888314202,-0.009855305385871854,0.24278665778984473,0.09846345486514238,-0.004095840368461452,0.2328155538133187,0.11824815446327733
ARO_AIs-avg,0.12148357143529179,-0.14271697628595628,-0.034330938755910236,-0.0400506827503893,0.029778317038128187,-0.010736598980228268,0.028509591286459475,0.09475229884566957,0.0484157093101929,-0.0159354280103425
AUD_AIs-avg,0.04904706838739619,-0.05523066116847287,0.21816555922122535,0.05297744861117085,-0.04659143739966264,0.011032671092975068,-0.08132918504876444,0.12586333323641571,0.07938566048737938,-0.09282882823477794
BIZ_AIs-avg,0.13012665523572234,-0.03948862189053352,-0.05215542876600597,-0.005586622276640076,-0.024647628233921824,-0.12141961568967391,-0.036496776396492944,0.016601447655602453,0.01503087691887886,0.25592671378209053
BOD_AIs-avg,0.05538838873507825,-0.03935321293542656,-0.03387736200376107,0.15312120707377516,0.2686566276673184,-0.08460731228734807,-0.06951202492311905,-0.1460239357645292,0.07864419891032166,-0.04905837888954679
INC_AIs-avg,-0.005519129691867165,-0.050468570811911334,-0.034392707850112565,0.27965770508092364,-0.17506664537967634,-0.0703136046966021,-0.10676581826567987,-0.0070665406784787485,-0.01953589942595117,-0.020567017811135378
LIM_AIs-avg,0.1210242352858438,-0.134580528022247,-0.05651552090249566,-0.07648728258016786,-0.024141779065546265,0.016490333310299015,-0.03417287982334458,-0.0032566295669512117,-0.013059367084274234,-0.03373783939577629
MEC_AIs-avg,0.09094871687421331,-0.11878630011108049,0.006233952703079377,0.04624630145407454,-0.059862507689261574,-0.07909602439883945,0.2683255448904963,0.0224499203769317,0.009081597332197254,0.016643201854109065
MOV_AIs-avg,0.10307863985435463,0.072439315668098,-0.11509844101501054,0.004971559548975872,0.019547406080597716,0.16427701202658657,-0.12417667674363356,0.05116455766981384,-0.03326414443530338,-0.0048071994777644815
SET_AIs-avg,0.13285035818538896,0.06505076072967106,-0.004415771911207067,-0.030942540565546666,-0.07465037039618237,0.026330151687307485,-0.04135697842388111,-0.1417476861723091,-0.16270567250577758,0.01122564627792927
SOC_AIs-avg,0.09205848985367393,-0.012725848970772509,0.21262479103904985,-0.01858398397082726,0.060881344511007594,0.04923434063185391,-0.057088310302223576,0.038273891211123165,-0.007472918814022376,0.02393884621982654
SPA_AIs-avg,0.11950457398157245,0.10795645982137268,-0.03948607421259667,-0.051849593992111406,-0.08533305208244046,-0.08940893000611198,0.011821776669454102,-0.003631138019248136,-0.006119411172898382,-0.15352493801017003
TAC_AIs-avg,0.06681687642019243,0.07887615943085399,-0.07572640619971914,0.11107770037898707,0.1848280907666131,-0.012984187286881329,0.038828377681647784,0.2341915985311643,-0.1650750817175416,-0.023524631060089653
TIM_AIs-avg,0.1218909343440236,0.013317026971123221,0.0592356355460204,0.03850579159175412,-0.010827391163047744,0.07025925485169952,0.043178595613156366,-0.1250438994922733,-0.026609566459411454,-0.0412359244218306
VAL_AIs-avg,-0.03363030924290531,0.23002295736476908,0.09585230070381223,0.08636661249000706,-5.344014213412129e-05,-0.034962575572363576,0.12374859039176563,-0.030208908208219733,-0.04876843293871552,0.014157611528744377
VIS_AIs-avg,0.10100387584548622,0.13828487720417995,-0.050750041797078364,-0.044734800467283654,-0.036919733801289746,-0.136897276576282,-0.015786057885189445,0.11047904343161842,0.19103710204577268,-0.04776526099532476
target,-0.002659868899039403,0.013041968580172966,0.0017458590826591389,0.016903315896301632,0.013084313812189288,0.005535592152143998,0.010720322248704112,-0.024200866790389516,-0.04145581003172116,-0.017938510767860617
